Id,Label,unnamed: 0,user_id,user_language,user_country,verified,followers_count,profile_image,splitter_z_value,stat_inf_class,modularity_class,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,pr_rank,pr_rank_min-max-normalized,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,Authority,Hub,Clustering Coefficient,pageranks,clustering,eigencentrality,KatzCentrality
87,01Pequenocosmo,87,1007056047817789440,Portuguese,Brazil,False,72,1007056047817789440.png,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000018,0,0,0
88,sobrevidafeel,88,1007278590722002946,Portuguese,Undefined_(Portuguese),False,146,1007278590722002946.png,0,352,491,0,0,0,0,0,1,1,0,2,2,0,0,7,0.272113,0.283873,0,0,0,0,0,0.000261,0,0.000018,0,0,0
89,xbabsrx,89,1007401920196202497,Portuguese,Bahrain,False,440,1007401920196202497.png,0,285,34,0,0,0,0,0,1,1,0,1,1,0,0,10,0.157972,0.161982,0,0,0,0,0,0.002955,0,0.000018,0,0,0
90,tomazzgabi,90,1007462931632738304,Portuguese,Undefined_(Portuguese),False,848,1007462931632738304.png,0,285,34,0,0,0,0,0,1,1,0,1,1,0,0,10,0.157972,0.161982,0,0,0,0,0,0.002955,0,0.000018,0,0,0
91,RyuuYouki,91,1007540904,English,United States,False,1157,1007540904.png,0,521,28,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0.000414,0,0.000018,0,0,0
92,TricaudaeStudio,92,1007542752408670209,English,Canada,False,3041,1007542752408670209.png,0,147,24,0,0,0,0,0,5,5,0,5,5,0,0,6,0.359911,0.390873,0,0,0,0,0,0.016748,0.4,0.000018,0.35,0,0
93,CatgirlRetweets,93,1007547416592121856,Portuguese,United Kingdom,False,670,1007547416592121856.png,0,132,60,0,0,0,0,0,1,1,0,1,1,0,0,7,0.279757,0.293,0,0,0,0,0,0.000118,0,0.000018,0,0,0
94,tinhotheus,94,1007683399606292482,Portuguese,Brazil,False,170,1007683399606292482.png,0,285,34,0,0,0,0,0,1,1,0,1,1,0,0,10,0.157972,0.161982,0,0,0,0,0,0.002955,0,0.000018,0,0,0
95,Li_Nkzd,95,1007690336993505280,English,Brazil,False,1667,1007690336993505280.png,0,521,28,0,0,0,0,0,2,2,0,2,2,0,0,7,0.264368,0.277317,0,0,0,0,0,0.000611,0,0.000018,0,0,0
96,sourmeanie,96,1007710989331193857,Portuguese,Undefined_(Portuguese),False,287,1007710989331193857.png,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000018,0,0,0
97,Imbigox,97,1007739959166554117,Portuguese,Undefined_(Portuguese),False,3820,1007739959166554117.png,0,30,469,0,0,0,0,0,1,1,0,1,1,0,0,6,0.357778,0.387164,0,0,0,0,0,0.014377,0,0.000018,0,0,0
98,aiaiai63,98,100779458,Portuguese,Undefined_(Portuguese),False,1445,100779458.png,0,289,53,0,0,0,0,0,1,1,0,1,1,0,0,7,0.273345,0.285944,0,0,0,0,0,0.000358,0,0.000018,0,0,0
99,NuclearBrachy,99,1007819250902413313,English,United States,False,288,1007819250902413313.png,0,189,24,0,0,0,0,0,7,7,0,7,7,0,0,7,0.277986,0.293949,0,0,0,0,0,0.001257,0,0.000018,0,0,0
100,mabayo_,100,1007991967857422338,Portuguese,Undefined_(Portuguese),False,336,1007991967857422338.png,0,285,34,0,0,0,0,0,1,1,0,1,1,0,0,10,0.157972,0.161982,0,0,0,0,0,0.002955,0,0.000018,0,0,0
101,alinneambrosio,101,100808236,English,Undefined_(English),False,69,100808236.png,0,290,12,0,0,0,0,0,1,1,0,1,1,0,0,7,0.269606,0.280405,0,0,0,0,0,0.000377,0,0.000018,0,0,0
102,LeBlanc_Dlux,102,1008184003487240192,Portuguese,Undefined_(Portuguese),False,62,1008184003487240192.png,0,285,34,0,0,0,0,0,1,1,0,1,1,0,0,10,0.157972,0.161982,0,0,0,0,0,0.002955,0,0.000018,0,0,0
103,anadallago1,103,1008262116,Portuguese,Undefined_(Portuguese),False,98,1008262116.png,0,112,60,0,0,0,0,1,2,3,1,2,3,0,0,7,0.277427,0.290395,0,0,0,0,0,0.000443,0,0.000018,0.5,0.000224,0
104,naofodecesa,104,1008356988051484672,English,Undefined_(English),False,306,1008356988051484672.png,0,676,60,0,0,0,0,0,1,1,0,1,1,0,0,8,0.212448,0.218355,0,0,0,0,0,0.000135,0,0.000018,0,0,0
105,Lys_the_Human,105,1008395494782046208,Portuguese,Undefined_(Portuguese),False,408,1008395494782046208.png,0,856,23,0,0,0,0,0,3,3,0,3,3,0,0,7,0.287843,0.303428,0,0,0,0,0,0.003877,0,0.000018,0,0,0
106,Victor4O5,106,1008400097003081728,Portuguese,Undefined_(Portuguese),False,30,1008400097003081728.png,0,135,438,0,0,0,0,0,1,1,0,1,1,0,0,9,0.196302,0.202928,0,0,0,0,0,0.00001,0,0.000018,0,0,0
107,bino_art,107,1008468792316440579,English,Undefined_(English),False,83,1008468792316440579.png,0,695,23,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0.000189,0,0.000018,0,0,0
108,BadWanning,108,1008476194881392642,Portuguese,Undefined_(Portuguese),False,1531,1008476194881392642.png,0,304,60,0,0,0,0,0,1,1,0,1,1,0,0,7,0.280081,0.293414,0,0,0,0,0,0.000899,0,0.000018,0,0,0
109,UlmanVictoria,109,1008673817806491648,Portuguese,Brazil,False,178,1008673817806491648.png,0,30,469,0,0,0,0,0,1,1,0,1,1,0,0,6,0.357778,0.387164,0,0,0,0,0,0.014377,0,0.000018,0,0,0
